   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:3791(PanedWindow)
        2    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:402(StringTemplateStyle)
        1    0.000    0.000    0.057    0.057 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:411(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:412(__init__)
        1    0.000    0.000    0.012    0.012 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(Client)
      218    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
      218    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.010    0.010 __init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:464(StringVar)
        2    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:477(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:486(IntVar)
        2    0.000    0.000    0.003    0.001 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:509(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:528(BooleanVar)
        1    0.000    0.000    0.026    0.026 __init__.py:54(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:571(Misc)
        1    0.000    0.000    0.011    0.011 __init__.py:58(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:599(BufferingFormatter)
        2    0.000    0.000    0.052    0.026 __init__.py:60(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:678(Filterer)
       42    0.000    0.000    0.000    0.000 __init__.py:683(__init__)
        3    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        7    0.000    0.000    0.000    0.000 __init__.py:750(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:760(Handler)
        7    0.000    0.000    0.000    0.000 __init__.py:769(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:798(createLock)
        7    0.000    0.000    0.024    0.003 __init__.py:8(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:83(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:83(sent_tokenize)
        1    0.000    0.000    0.078    0.078 __init__.py:84(_get_tagger)
        1    0.000    0.000    0.002    0.002 __init__.py:85(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:868(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:949(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:958(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:96(_pos_tag)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:98(word_tokenize)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:27(RecentlyUsedContainer)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _compat.py:222(<lambda>)
        1    0.000    0.000    0.000    0.000 _compat.py:46(_NonClosingTextIOWrapper)
        1    0.000    0.000    0.000    0.000 _compat.py:475(_AtomicFile)
        3    0.000    0.000    0.000    0.000 _compat.py:611(_make_cached_stream_func)
        1    0.000    0.000    0.000    0.000 _compat.py:80(_FixupStream)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
